road_key,road_name,measurements_count,stations_count,date_min,date_max,traffic_factor_latest,traffic_factor_max,traffic_factor_mean,vehicle_count_max,vehicle_count_mean,source_latest
cell_u3qckx,cell_u3qckx,1,1,2026-06-01 18:23:45.623301,2026-06-01 18:23:45.623301,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcky,cell_u3qcky,1,1,2026-06-01 18:23:00.499637,2026-06-01 18:23:00.499637,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qckz,cell_u3qckz,1,1,2026-06-01 18:23:52.578419,2026-06-01 18:23:52.578419,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcm0,cell_u3qcm0,1,1,2026-06-01 18:23:30.387260,2026-06-01 18:23:30.387260,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcm1,cell_u3qcm1,1,1,2026-06-01 18:23:01.750318,2026-06-01 18:23:01.750318,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcm2,cell_u3qcm2,1,1,2026-06-01 18:23:02.912051,2026-06-01 18:23:02.912051,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcm3,cell_u3qcm3,1,1,2026-06-01 18:23:25.149954,2026-06-01 18:23:25.149954,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcm4,cell_u3qcm4,1,1,2026-06-01 18:23:07.012602,2026-06-01 18:23:07.012602,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcm5,cell_u3qcm5,1,1,2026-06-01 18:22:59.264179,2026-06-01 18:22:59.264179,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcm6,cell_u3qcm6,1,1,2026-06-01 18:22:58.603400,2026-06-01 18:22:58.603400,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcm7,cell_u3qcm7,1,1,2026-06-01 18:22:46.819166,2026-06-01 18:22:46.819166,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcm8,cell_u3qcm8,1,1,2026-06-01 18:23:07.219535,2026-06-01 18:23:07.219535,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcm9,cell_u3qcm9,1,1,2026-06-01 18:23:08.468195,2026-06-01 18:23:08.468195,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcmb,cell_u3qcmb,1,1,2026-06-01 18:22:52.849223,2026-06-01 18:22:52.849223,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcmc,cell_u3qcmc,1,1,2026-06-01 18:23:12.143095,2026-06-01 18:23:12.143095,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcmd,cell_u3qcmd,1,1,2026-06-01 18:22:55.888876,2026-06-01 18:22:55.888876,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcme,cell_u3qcme,1,1,2026-06-01 18:22:47.461643,2026-06-01 18:22:47.461643,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcmf,cell_u3qcmf,1,1,2026-06-01 18:23:52.357163,2026-06-01 18:23:52.357163,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcmg,cell_u3qcmg,1,1,2026-06-01 18:23:26.882459,2026-06-01 18:23:26.882459,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcmh,cell_u3qcmh,1,1,2026-06-01 18:22:58.262713,2026-06-01 18:22:58.262713,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcmj,cell_u3qcmj,1,1,2026-06-01 18:22:45.899875,2026-06-01 18:22:45.899875,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcmk,cell_u3qcmk,1,1,2026-06-01 18:22:58.486903,2026-06-01 18:22:58.486903,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcmm,cell_u3qcmm,1,1,2026-06-01 18:23:02.808601,2026-06-01 18:23:02.808601,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcmn,cell_u3qcmn,1,1,2026-06-01 18:23:38.725257,2026-06-01 18:23:38.725257,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcmq,cell_u3qcmq,1,1,2026-06-01 18:23:25.675305,2026-06-01 18:23:25.675305,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcmr,cell_u3qcmr,1,1,2026-06-01 18:23:44.673265,2026-06-01 18:23:44.673265,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcms,cell_u3qcms,1,1,2026-06-01 18:23:36.056903,2026-06-01 18:23:36.056903,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcmt,cell_u3qcmt,1,1,2026-06-01 18:23:10.260669,2026-06-01 18:23:10.260669,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcmu,cell_u3qcmu,1,1,2026-06-01 18:23:52.256498,2026-06-01 18:23:52.256498,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcmw,cell_u3qcmw,1,1,2026-06-01 18:23:27.391934,2026-06-01 18:23:27.391934,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcmy,cell_u3qcmy,1,1,2026-06-01 18:23:40.973651,2026-06-01 18:23:40.973651,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcmz,cell_u3qcmz,1,1,2026-06-01 18:23:40.336220,2026-06-01 18:23:40.336220,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcn0,cell_u3qcn0,1,1,2026-06-01 18:23:12.466877,2026-06-01 18:23:12.466877,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcn1,cell_u3qcn1,1,1,2026-06-01 18:23:19.215781,2026-06-01 18:23:19.215781,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcn2,cell_u3qcn2,1,1,2026-06-01 18:22:52.943730,2026-06-01 18:22:52.943730,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcn3,cell_u3qcn3,1,1,2026-06-01 18:22:53.557489,2026-06-01 18:22:53.557489,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcn4,cell_u3qcn4,1,1,2026-06-01 18:22:50.753098,2026-06-01 18:22:50.753098,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcn5,cell_u3qcn5,1,1,2026-06-01 18:23:13.219780,2026-06-01 18:23:13.219780,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcn6,cell_u3qcn6,1,1,2026-06-01 18:22:47.898808,2026-06-01 18:22:47.898808,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcn7,cell_u3qcn7,1,1,2026-06-01 18:23:00.611206,2026-06-01 18:23:00.611206,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcn8,cell_u3qcn8,1,1,2026-06-01 18:23:31.781482,2026-06-01 18:23:31.781482,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcn9,cell_u3qcn9,1,1,2026-06-01 18:23:52.049129,2026-06-01 18:23:52.049129,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcnb,cell_u3qcnb,1,1,2026-06-01 18:23:05.069670,2026-06-01 18:23:05.069670,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcnc,cell_u3qcnc,1,1,2026-06-01 18:23:15.559140,2026-06-01 18:23:15.559140,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcnd,cell_u3qcnd,1,1,2026-06-01 18:23:20.275657,2026-06-01 18:23:20.275657,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcne,cell_u3qcne,1,1,2026-06-01 18:23:14.045555,2026-06-01 18:23:14.045555,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcnf,cell_u3qcnf,1,1,2026-06-01 18:23:17.181556,2026-06-01 18:23:17.181556,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcng,cell_u3qcng,1,1,2026-06-01 18:23:15.096821,2026-06-01 18:23:15.096821,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcnh,cell_u3qcnh,1,1,2026-06-01 18:23:08.906298,2026-06-01 18:23:08.906298,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcnj,cell_u3qcnj,1,1,2026-06-01 18:22:51.704291,2026-06-01 18:22:51.704291,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcnk,cell_u3qcnk,1,1,2026-06-01 18:23:11.327208,2026-06-01 18:23:11.327208,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcnm,cell_u3qcnm,1,1,2026-06-01 18:22:53.252382,2026-06-01 18:22:53.252382,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcnn,cell_u3qcnn,1,1,2026-06-01 18:23:02.681015,2026-06-01 18:23:02.681015,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcnp,cell_u3qcnp,1,1,2026-06-01 18:23:12.039008,2026-06-01 18:23:12.039008,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcnq,cell_u3qcnq,1,1,2026-06-01 18:23:01.430299,2026-06-01 18:23:01.430299,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcnr,cell_u3qcnr,1,1,2026-06-01 18:23:03.324589,2026-06-01 18:23:03.324589,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcns,cell_u3qcns,1,1,2026-06-01 18:23:08.139941,2026-06-01 18:23:08.139941,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcnt,cell_u3qcnt,1,1,2026-06-01 18:22:52.449638,2026-06-01 18:22:52.449638,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcnu,cell_u3qcnu,1,1,2026-06-01 18:23:40.022379,2026-06-01 18:23:40.022379,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcnv,cell_u3qcnv,1,1,2026-06-01 18:23:05.428482,2026-06-01 18:23:05.428482,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcnw,cell_u3qcnw,1,1,2026-06-01 18:23:35.959546,2026-06-01 18:23:35.959546,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcnx,cell_u3qcnx,1,1,2026-06-01 18:23:20.062061,2026-06-01 18:23:20.062061,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcny,cell_u3qcny,1,1,2026-06-01 18:23:38.398215,2026-06-01 18:23:38.398215,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcnz,cell_u3qcnz,1,1,2026-06-01 18:23:07.822283,2026-06-01 18:23:07.822283,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcp0,cell_u3qcp0,1,1,2026-06-01 18:23:21.004055,2026-06-01 18:23:21.004055,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcp1,cell_u3qcp1,1,1,2026-06-01 18:23:42.668389,2026-06-01 18:23:42.668389,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcp2,cell_u3qcp2,1,1,2026-06-01 18:22:58.380776,2026-06-01 18:22:58.380776,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcp3,cell_u3qcp3,1,1,2026-06-01 18:23:07.632888,2026-06-01 18:23:07.632888,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcp4,cell_u3qcp4,1,1,2026-06-01 18:23:52.683411,2026-06-01 18:23:52.683411,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcp5,cell_u3qcp5,1,1,2026-06-01 18:23:03.021192,2026-06-01 18:23:03.021192,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcp6,cell_u3qcp6,1,1,2026-06-01 18:23:29.813371,2026-06-01 18:23:29.813371,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcp7,cell_u3qcp7,1,1,2026-06-01 18:22:43.395902,2026-06-01 18:22:43.395902,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcp8,cell_u3qcp8,1,1,2026-06-01 18:23:22.104439,2026-06-01 18:23:22.104439,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcp9,cell_u3qcp9,1,1,2026-06-01 18:23:46.191671,2026-06-01 18:23:46.191671,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcpb,cell_u3qcpb,1,1,2026-06-01 18:23:51.506520,2026-06-01 18:23:51.506520,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcpc,cell_u3qcpc,1,1,2026-06-01 18:23:55.855560,2026-06-01 18:23:55.855560,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcpd,cell_u3qcpd,1,1,2026-06-01 18:23:36.357821,2026-06-01 18:23:36.357821,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcpe,cell_u3qcpe,1,1,2026-06-01 18:23:18.061342,2026-06-01 18:23:18.061342,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcpf,cell_u3qcpf,1,1,2026-06-01 18:23:28.279336,2026-06-01 18:23:28.279336,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcpg,cell_u3qcpg,1,1,2026-06-01 18:23:06.057426,2026-06-01 18:23:06.057426,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcph,cell_u3qcph,1,1,2026-06-01 18:22:59.911961,2026-06-01 18:22:59.911961,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcpj,cell_u3qcpj,1,1,2026-06-01 18:22:52.011788,2026-06-01 18:22:52.011788,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcpk,cell_u3qcpk,1,1,2026-06-01 18:23:17.075144,2026-06-01 18:23:17.075144,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcpm,cell_u3qcpm,1,1,2026-06-01 18:23:29.260247,2026-06-01 18:23:29.260247,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcpp,cell_u3qcpp,1,1,2026-06-01 18:23:11.845770,2026-06-01 18:23:11.845770,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcpq,cell_u3qcpq,1,1,2026-06-01 18:23:34.028923,2026-06-01 18:23:34.028923,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcpr,cell_u3qcpr,1,1,2026-06-01 18:22:56.850516,2026-06-01 18:22:56.850516,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcps,cell_u3qcps,1,1,2026-06-01 18:22:56.182173,2026-06-01 18:22:56.182173,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcpt,cell_u3qcpt,1,1,2026-06-01 18:23:07.932746,2026-06-01 18:23:07.932746,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcpu,cell_u3qcpu,1,1,2026-06-01 18:22:55.027429,2026-06-01 18:22:55.027429,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcpv,cell_u3qcpv,1,1,2026-06-01 18:23:01.123698,2026-06-01 18:23:01.123698,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcpw,cell_u3qcpw,1,1,2026-06-01 18:22:51.795261,2026-06-01 18:22:51.795261,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcpx,cell_u3qcpx,1,1,2026-06-01 18:22:43.734581,2026-06-01 18:22:43.734581,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcpy,cell_u3qcpy,1,1,2026-06-01 18:22:56.401253,2026-06-01 18:22:56.401253,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcpz,cell_u3qcpz,1,1,2026-06-01 18:23:12.563991,2026-06-01 18:23:12.563991,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcq0,cell_u3qcq0,1,1,2026-06-01 18:23:16.762486,2026-06-01 18:23:16.762486,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcq1,cell_u3qcq1,1,1,2026-06-01 18:23:29.688236,2026-06-01 18:23:29.688236,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcq2,cell_u3qcq2,1,1,2026-06-01 18:23:52.884980,2026-06-01 18:23:52.884980,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcq3,cell_u3qcq3,1,1,2026-06-01 18:23:32.931900,2026-06-01 18:23:32.931900,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcq4,cell_u3qcq4,1,1,2026-06-01 18:23:33.449581,2026-06-01 18:23:33.449581,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcq5,cell_u3qcq5,1,1,2026-06-01 18:23:52.151669,2026-06-01 18:23:52.151669,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcq6,cell_u3qcq6,1,1,2026-06-01 18:23:09.814769,2026-06-01 18:23:09.814769,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcq7,cell_u3qcq7,1,1,2026-06-01 18:23:44.449956,2026-06-01 18:23:44.449956,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcq8,cell_u3qcq8,1,1,2026-06-01 18:22:54.083643,2026-06-01 18:22:54.083643,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcq9,cell_u3qcq9,1,1,2026-06-01 18:22:56.291618,2026-06-01 18:22:56.291618,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcqb,cell_u3qcqb,1,1,2026-06-01 18:23:09.296199,2026-06-01 18:23:09.296199,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcqc,cell_u3qcqc,1,1,2026-06-01 18:22:53.773052,2026-06-01 18:22:53.773052,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcqd,cell_u3qcqd,1,1,2026-06-01 18:23:10.373565,2026-06-01 18:23:10.373565,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcqe,cell_u3qcqe,1,1,2026-06-01 18:23:33.149055,2026-06-01 18:23:33.149055,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcqf,cell_u3qcqf,1,1,2026-06-01 18:23:19.112656,2026-06-01 18:23:19.112656,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcqg,cell_u3qcqg,1,1,2026-06-01 18:22:43.924972,2026-06-01 18:22:43.924972,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcqh,cell_u3qcqh,1,1,2026-06-01 18:23:37.956178,2026-06-01 18:23:37.956178,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcqj,cell_u3qcqj,1,1,2026-06-01 18:23:43.920257,2026-06-01 18:23:43.920257,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcqk,cell_u3qcqk,1,1,2026-06-01 18:23:43.802494,2026-06-01 18:23:43.802494,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcqm,cell_u3qcqm,1,1,2026-06-01 18:23:24.696852,2026-06-01 18:23:24.696852,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcqn,cell_u3qcqn,1,1,2026-06-01 18:23:54.342043,2026-06-01 18:23:54.342043,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcqq,cell_u3qcqq,1,1,2026-06-01 18:22:47.245361,2026-06-01 18:22:47.245361,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcqr,cell_u3qcqr,1,1,2026-06-01 18:23:11.733109,2026-06-01 18:23:11.733109,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcqs,cell_u3qcqs,1,1,2026-06-01 18:23:37.201661,2026-06-01 18:23:37.201661,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcqt,cell_u3qcqt,1,1,2026-06-01 18:23:26.772404,2026-06-01 18:23:26.772404,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcqu,cell_u3qcqu,1,1,2026-06-01 18:22:57.603425,2026-06-01 18:22:57.603425,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcqv,cell_u3qcqv,1,1,2026-06-01 18:23:34.643199,2026-06-01 18:23:34.643199,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcqw,cell_u3qcqw,1,1,2026-06-01 18:23:04.732859,2026-06-01 18:23:04.732859,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcqx,cell_u3qcqx,1,1,2026-06-01 18:23:53.827742,2026-06-01 18:23:53.827742,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcqy,cell_u3qcqy,1,1,2026-06-01 18:22:49.694001,2026-06-01 18:22:49.694001,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcqz,cell_u3qcqz,1,1,2026-06-01 18:23:41.406027,2026-06-01 18:23:41.406027,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcr0,cell_u3qcr0,1,1,2026-06-01 18:23:38.499810,2026-06-01 18:23:38.499810,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcr1,cell_u3qcr1,1,1,2026-06-01 18:23:01.026191,2026-06-01 18:23:01.026191,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcr2,cell_u3qcr2,1,1,2026-06-01 18:23:35.524059,2026-06-01 18:23:35.524059,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcr3,cell_u3qcr3,1,1,2026-06-01 18:23:34.756241,2026-06-01 18:23:34.756241,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcr4,cell_u3qcr4,1,1,2026-06-01 18:23:22.003283,2026-06-01 18:23:22.003283,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcr5,cell_u3qcr5,1,1,2026-06-01 18:22:44.338879,2026-06-01 18:22:44.338879,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcr6,cell_u3qcr6,1,1,2026-06-01 18:23:01.876180,2026-06-01 18:23:01.876180,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcr7,cell_u3qcr7,1,1,2026-06-01 18:23:16.973181,2026-06-01 18:23:16.973181,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcr8,cell_u3qcr8,1,1,2026-06-01 18:23:07.726516,2026-06-01 18:23:07.726516,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcr9,cell_u3qcr9,1,1,2026-06-01 18:23:28.612565,2026-06-01 18:23:28.612565,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcrb,cell_u3qcrb,1,1,2026-06-01 18:23:39.078957,2026-06-01 18:23:39.078957,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcrc,cell_u3qcrc,1,1,2026-06-01 18:23:37.857186,2026-06-01 18:23:37.857186,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcrd,cell_u3qcrd,1,1,2026-06-01 18:23:35.291590,2026-06-01 18:23:35.291590,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcre,cell_u3qcre,1,1,2026-06-01 18:23:17.380020,2026-06-01 18:23:17.380020,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcrf,cell_u3qcrf,1,1,2026-06-01 18:23:56.064142,2026-06-01 18:23:56.064142,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcrg,cell_u3qcrg,1,1,2026-06-01 18:23:31.884831,2026-06-01 18:23:31.884831,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcrh,cell_u3qcrh,1,1,2026-06-01 18:22:47.564634,2026-06-01 18:22:47.564634,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcrj,cell_u3qcrj,1,1,2026-06-01 18:22:45.217311,2026-06-01 18:22:45.217311,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcrk,cell_u3qcrk,1,1,2026-06-01 18:22:55.990011,2026-06-01 18:22:55.990011,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcrm,cell_u3qcrm,1,1,2026-06-01 18:22:44.242945,2026-06-01 18:22:44.242945,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcrn,cell_u3qcrn,1,1,2026-06-01 18:22:48.111652,2026-06-01 18:22:48.111652,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcrp,cell_u3qcrp,1,1,2026-06-01 18:23:38.966537,2026-06-01 18:23:38.966537,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcrq,cell_u3qcrq,1,1,2026-06-01 18:22:44.649492,2026-06-01 18:22:44.649492,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcrr,cell_u3qcrr,1,1,2026-06-01 18:23:22.517536,2026-06-01 18:23:22.517536,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcrs,cell_u3qcrs,1,1,2026-06-01 18:23:27.948774,2026-06-01 18:23:27.948774,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcrt,cell_u3qcrt,1,1,2026-06-01 18:22:49.334223,2026-06-01 18:22:49.334223,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcru,cell_u3qcru,1,1,2026-06-01 18:23:22.914339,2026-06-01 18:23:22.914339,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcrv,cell_u3qcrv,1,1,2026-06-01 18:23:52.457198,2026-06-01 18:23:52.457198,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcrw,cell_u3qcrw,1,1,2026-06-01 18:22:45.999481,2026-06-01 18:22:45.999481,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcrx,cell_u3qcrx,1,1,2026-06-01 18:23:30.064403,2026-06-01 18:23:30.064403,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcry,cell_u3qcry,1,1,2026-06-01 18:23:17.830573,2026-06-01 18:23:17.830573,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3r081,cell_u3r081,1,1,2026-06-01 18:23:56.664674,2026-06-01 18:23:56.664674,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3r084,cell_u3r084,1,1,2026-06-01 18:23:14.436638,2026-06-01 18:23:14.436638,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3r085,cell_u3r085,1,1,2026-06-01 18:23:51.318664,2026-06-01 18:23:51.318664,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3r086,cell_u3r086,1,1,2026-06-01 18:23:33.352710,2026-06-01 18:23:33.352710,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3r087,cell_u3r087,1,1,2026-06-01 18:23:56.179224,2026-06-01 18:23:56.179224,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3r08d,cell_u3r08d,1,1,2026-06-01 18:23:48.131106,2026-06-01 18:23:48.131106,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3r08f,cell_u3r08f,1,1,2026-06-01 18:23:37.109808,2026-06-01 18:23:37.109808,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3r08h,cell_u3r08h,1,1,2026-06-01 18:23:51.848651,2026-06-01 18:23:51.848651,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3r08j,cell_u3r08j,1,1,2026-06-01 18:23:39.700962,2026-06-01 18:23:39.700962,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3r08m,cell_u3r08m,1,1,2026-06-01 18:23:51.211045,2026-06-01 18:23:51.211045,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3r08n,cell_u3r08n,1,1,2026-06-01 18:23:49.587390,2026-06-01 18:23:49.587390,1.0,1.0,1.0,0,0.0,tomtom_real_time
