road_key,road_name,measurements_count,stations_count,date_min,date_max,traffic_factor_latest,traffic_factor_max,traffic_factor_mean,vehicle_count_max,vehicle_count_mean,source_latest
cell_u3qc5u,cell_u3qc5u,1,1,2026-06-01 18:22:54.403435,2026-06-01 18:22:54.403435,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qc5v,cell_u3qc5v,1,1,2026-06-01 18:22:54.928493,2026-06-01 18:22:54.928493,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qc5w,cell_u3qc5w,1,1,2026-06-01 18:23:16.172110,2026-06-01 18:23:16.172110,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc5x,cell_u3qc5x,1,1,2026-06-01 18:23:36.159345,2026-06-01 18:23:36.159345,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc5y,cell_u3qc5y,1,1,2026-06-01 18:23:01.219663,2026-06-01 18:23:01.219663,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc5z,cell_u3qc5z,1,1,2026-06-01 18:23:15.426624,2026-06-01 18:23:15.426624,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qc6b,cell_u3qc6b,1,1,2026-06-01 18:23:28.808558,2026-06-01 18:23:28.808558,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc6u,cell_u3qc6u,1,1,2026-06-01 18:23:55.750005,2026-06-01 18:23:55.750005,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc6v,cell_u3qc6v,1,1,2026-06-01 18:23:54.112356,2026-06-01 18:23:54.112356,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc6y,cell_u3qc6y,1,1,2026-06-01 18:23:37.005793,2026-06-01 18:23:37.005793,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc70,cell_u3qc70,1,1,2026-06-01 18:23:12.992709,2026-06-01 18:23:12.992709,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc72,cell_u3qc72,1,1,2026-06-01 18:23:32.402493,2026-06-01 18:23:32.402493,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qc73,cell_u3qc73,1,1,2026-06-01 18:23:31.127203,2026-06-01 18:23:31.127203,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qc74,cell_u3qc74,1,1,2026-06-01 18:23:53.081819,2026-06-01 18:23:53.081819,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc76,cell_u3qc76,1,1,2026-06-01 18:23:55.084146,2026-06-01 18:23:55.084146,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qc78,cell_u3qc78,1,1,2026-06-01 18:23:39.173466,2026-06-01 18:23:39.173466,1.15,1.15,1.15,0,0.0,tomtom_real_time
